"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM10","PM25"
"02/14/2021","12","PM10","","54-009-0011","AQS","12","."
"02/15/2021","36","PM2.5","","54-009-0005","AQS","7","36"
"02/16/2021","7","PM10","","54-009-0011","AQS","7","."
"02/17/2021","12","PM10","","54-009-0011","AQS","12","."
"02/18/2021","49","PM2.5","","54-009-0005","AQS","12","49"
"02/19/2021","13","PM10","","54-009-0011","AQS","13","."
"02/20/2021","19","PM10","","54-009-0011","AQS","19","."
"02/21/2021","81","PM2.5","","54-009-0011","AQS","27","81"
"02/22/2021","7","PM10","","54-009-0011","AQS","7","."
"02/23/2021","9","PM10","","54-009-0011","AQS","9","."
"02/24/2021","58","PM2.5","","54-009-0011","AQS","23","58"
"02/25/2021","6","PM10","","54-009-0011","AQS","6","."
