"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"03/17/2013","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","6"
"03/18/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"03/19/2013","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","."
"03/20/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","0"
"03/21/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"03/22/2013","46","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","46","."
"03/23/2013","71","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","71","14"
"03/24/2013","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","."
"03/25/2013","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","."
"03/26/2013","43","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","43","7"
"03/27/2013","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","."
"03/28/2013","36","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","36","."
"03/29/2013","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","13"
"03/30/2013","41","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","41","."
"03/31/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"04/01/2013","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","37","1"
"04/02/2013","33","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","33","."
"04/03/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"04/04/2013","31","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","31","5"
"04/05/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"04/06/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","."
"04/07/2013","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","38","15"
"04/08/2013","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","."
"04/09/2013","42","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","42","."
"04/10/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","7"
"04/11/2013","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","40","."
"04/12/2013","54","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","54","."
"04/13/2013","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","45","8"
"04/14/2013","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","45","."
"04/15/2013","34","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","34","."
"04/16/2013","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","3"
"04/17/2013","44","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","44","."
"04/18/2013","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","."
"04/19/2013","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","48","."
"04/20/2013","49","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","49","."
"04/21/2013","50","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","50","."
"04/22/2013","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","48","."
"04/23/2013","84","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","84","."
"04/24/2013","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","64","."
"04/25/2013","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","51","15"
"04/26/2013","77","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","77","."
"04/27/2013","80","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","80","."
"04/28/2013","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","64","30"
"04/29/2013","45","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","45","."
