"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"04/04/2017","64","Ozone","Dallas North #2","48-113-0075","AQS","3","64","33","32"
"04/05/2017","41","Ozone","Dallas Hinton","48-113-0069","AQS","2","41","10","31"
"04/06/2017","50","Ozone","Dallas North #2","48-113-0075","AQS","5","50","29","41"
"04/07/2017","93","Ozone","Dallas Hinton","48-113-0069","AQS","3","93","34","40"
"04/08/2017","54","Ozone","Dallas Hinton","48-113-0069","AQS","2","54","33","9"
"04/09/2017","43","Ozone","Dallas Hinton","48-113-0069","AQS","1","43","29","2"
"04/10/2017","33","PM2.5","Dallas Hinton","48-113-0069","AQS","1","31","33","23"
"04/11/2017","55","PM2.5","Dallas Hinton","48-113-0069","AQS","2","40","55","27"
"04/12/2017","41","Ozone","Dallas Hinton","48-113-0069","AQS","2","41","36","30"
"04/13/2017","44","PM2.5","Dallas Hinton","48-113-0069","AQS","3","36","44","24"
"04/14/2017","44","Ozone","Dallas Hinton","48-113-0069","AQS","2","44","33","15"
"04/15/2017","34","Ozone","Dallas Hinton","48-113-0069","AQS","2","34","31","19"
"04/16/2017","39","PM2.5","Convention Center","48-113-0050","AQS","2","29","39","16"
"04/17/2017","32","PM2.5","Dallas Hinton","48-113-0069","AQS","2","30","32","22"
"04/18/2017","42","Ozone","Dallas Hinton","48-113-0069","AQS","3","42","26","19"
"04/19/2017","35","Ozone","Dallas Hinton","48-113-0069","AQS","1","35","33","9"
"04/20/2017","37","Ozone","Dallas Hinton","48-113-0069","AQS","2","37","35","13"
"04/21/2017","35","PM2.5","Dallas Hinton","48-113-0069","AQS","2","34","35","10"
"04/22/2017","35","Ozone","Dallas Hinton","48-113-0069","AQS","1","35","9","13"
"04/23/2017","50","Ozone","Dallas Hinton","48-113-0069","AQS","2","50","18","34"
"04/24/2017","61","Ozone","Dallas Hinton","48-113-0069","AQS","5","61","25","33"
"04/25/2017","43","Ozone","Dallas Hinton","48-113-0069","AQS","1","43","33","8"
"04/26/2017","33","PM2.5","Dallas Hinton","48-113-0069","AQS","2","23","33","22"
"04/27/2017","39","Ozone","Dallas North #2","48-113-0075","AQS","5","39","28","23"
"04/28/2017","67","PM2.5","Convention Center","48-113-0050","AQS","2","42","67","15"
"04/29/2017","72","PM2.5","Dallas Hinton","48-113-0069","AQS","2","33","72","6"
"04/30/2017","51","Ozone","Dallas Hinton","48-113-0069","AQS","2","51","13","4"
"05/01/2017","97","Ozone","Dallas Hinton","48-113-0069","AQS","2","97","24","27"
"05/02/2017","71","Ozone","Dallas Hinton","48-113-0069","AQS","2","71","25","19"
"05/03/2017","42","Ozone","Dallas Hinton","48-113-0069","AQS","2","42","33","12"
"05/04/2017","44","Ozone","Dallas Hinton","48-113-0069","AQS","2","44","18","25"
"05/05/2017","58","Ozone","Dallas Hinton","48-113-0069","AQS","3","58","30","42"
"05/06/2017","133","Ozone","Dallas Hinton","48-113-0069","AQS","8","133","45","44"
"05/07/2017","87","Ozone","Dallas Hinton","48-113-0069","AQS","2","87","43","11"
"05/08/2017","61","Ozone","Dallas North #2","48-113-0075","AQS","2","61","39","21"
"05/09/2017","51","PM2.5","Dallas Hinton","48-113-0069","AQS","2","42","51","17"
"05/10/2017","62","PM2.5","Dallas Hinton","48-113-0069","AQS","2","42","62","13"
"05/11/2017","52","PM2.5","Dallas Hinton","48-113-0069","AQS","2","47","52","18"
"05/12/2017","43","Ozone","Dallas Hinton","48-113-0069","AQS","2","43","21","18"
"05/13/2017","93","Ozone","Dallas Hinton","48-113-0069","AQS","2","93","32","30"
"05/14/2017","74","Ozone","Dallas Hinton","48-113-0069","AQS","2","74","52","9"
"05/15/2017","77","Ozone","Dallas North #2","48-113-0075","AQS","2","77","45","12"
"05/16/2017","49","Ozone","Dallas North #2","48-113-0075","AQS","1","49","47","7"
"05/17/2017","51","Ozone","Dallas North #2","48-113-0075","AQS","1","51","43","11"
"05/18/2017","61","PM2.5","Dallas Hinton","48-113-0069","AQS","1","40","61","5"
"05/19/2017","47","PM2.5","Dallas Hinton","48-113-0069","AQS","1","37","47","6"
"05/20/2017","36","Ozone","Dallas Hinton","48-113-0069","AQS","1","36","15","15"
"05/21/2017","41","Ozone","Dallas Hinton","48-113-0069","AQS","2","41","12","15"
"05/22/2017","46","Ozone","Dallas Hinton","48-113-0069","AQS","3","46","20","19"
"05/23/2017","35","Ozone","Dallas North #2","48-113-0075","AQS","3","35","25","21"
"05/24/2017","44","Ozone","Dallas North #2","48-113-0075","AQS","5","44","25","33"
"05/25/2017","77","Ozone","Dallas North #2","48-113-0075","AQS","2","77","28","15"
"05/26/2017","44","Ozone","Dallas North #2","48-113-0075","AQS","2","44","41","4"
"05/27/2017","76","PM2.5","Dallas Hinton","48-113-0069","AQS","2","34","76","2"
"05/28/2017","35","PM2.5","Dallas Hinton","48-113-0069","AQS","2","31","35","12"
"05/29/2017","47","Ozone","Dallas Hinton","48-113-0069","AQS","3","47","26","25"
"05/30/2017","71","Ozone","Dallas North #2","48-113-0075","AQS","5","71","47","30"
"05/31/2017","67","PM2.5","Dallas Hinton","48-113-0069","AQS","3","54","67","26"
"06/01/2017","40","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","2","40","38","27"
"06/02/2017","35","PM2.5","Dallas Hinton","48-113-0069","AQS","2","29","35","20"
"06/03/2017","45","Ozone","Dallas North #2","48-113-0075","AQS","3","45","18","22"
"06/04/2017","48","Ozone","Dallas Hinton","48-113-0069","AQS","7","48","25","22"
"06/05/2017","35","Ozone","Dallas Redbird Airport Executive","48-113-0087","AQS","2","35","23","24"
"06/06/2017","64","Ozone","Dallas North #2","48-113-0075","AQS","2","64","34","33"
"06/07/2017","90","Ozone","Dallas Hinton","48-113-0069","AQS","2","90","58","26"
