"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"02/12/2002","50","Ozone","Centennial","56-001-9991","AQS","50",".","."
"02/13/2002","49","Ozone","Centennial","56-001-9991","AQS","49","13","."
"02/14/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"02/15/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"02/16/2002","64","Ozone","Centennial","56-001-9991","AQS","64",".","."
"02/17/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"02/18/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"02/19/2002","50","Ozone","Centennial","56-001-9991","AQS","50","26","."
"02/20/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"02/21/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"02/22/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","3"
"02/23/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"02/24/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"02/25/2002","42","Ozone","Centennial","56-001-9991","AQS","42","31","7"
"02/26/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"02/27/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"02/28/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","6"
"03/01/2002","43","Ozone","Centennial","56-001-9991","AQS","43",".","."
"03/02/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"03/03/2002","47","Ozone","Centennial","56-001-9991","AQS","47","26","8"
"03/04/2002","45","Ozone","Centennial","56-001-9991","AQS","45",".","."
"03/05/2002","48","Ozone","Centennial","56-001-9991","AQS","48",".","."
"03/06/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","6"
"03/07/2002","47","Ozone","Centennial","56-001-9991","AQS","47",".","."
"03/08/2002","44","Ozone","Centennial","56-001-9991","AQS","44",".","."
"03/09/2002","47","Ozone","Centennial","56-001-9991","AQS","47","22","."
"03/10/2002","51","Ozone","Centennial","56-001-9991","AQS","51",".","."
"03/11/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"03/12/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"03/13/2002","46","Ozone","Centennial","56-001-9991","AQS","46",".","."
"03/14/2002","49","Ozone","Centennial","56-001-9991","AQS","49",".","."
"03/15/2002","49","Ozone","Centennial","56-001-9991","AQS","49","20","."
"03/16/2002","58","Ozone","Centennial","56-001-9991","AQS","58",".","."
"03/17/2002","51","Ozone","Centennial","56-001-9991","AQS","51",".","."
"03/18/2002","61","Ozone","Centennial","56-001-9991","AQS","61",".","."
"03/19/2002","54","Ozone","Centennial","56-001-9991","AQS","54",".","."
